system:index,elevation,latitude,longitude,.geo
2719_0,337.6343,65.61937316465091,-53.08057942176322,"{""type"":""MultiPoint"",""coordinates"":[]}"
2741_0,382.29718,79.56851573480475,-63.64843374205259,"{""type"":""MultiPoint"",""coordinates"":[]}"
2750_0,213.90045,66.93527857078972,-51.64340003801221,"{""type"":""MultiPoint"",""coordinates"":[]}"
2752_0,1201.4038,65.88948270442472,-51.78612423057363,"{""type"":""MultiPoint"",""coordinates"":[]}"
2759_0,1076.3585,68.4860121040617,-49.30325706351171,"{""type"":""MultiPoint"",""coordinates"":[]}"
2767_0,699.02423,72.90653942269664,-53.92803425514947,"{""type"":""MultiPoint"",""coordinates"":[]}"
2786_0,286.8885,68.3702463633628,-52.09378860508903,"{""type"":""MultiPoint"",""coordinates"":[]}"
2789_0,126.44825,69.63723204566737,-53.77029427338158,"{""type"":""MultiPoint"",""coordinates"":[]}"
2790_0,418.16357,70.2673192334326,-52.259979859105975,"{""type"":""MultiPoint"",""coordinates"":[]}"
2805_0,492.13623,63.81003241203333,-50.17708120472978,"{""type"":""MultiPoint"",""coordinates"":[]}"
2810_0,1913.2341,61.76340425409365,-46.73994341386112,"{""type"":""MultiPoint"",""coordinates"":[]}"
2813_0,720.48615,77.593725646606,-65.8402168042531,"{""type"":""MultiPoint"",""coordinates"":[]}"
2826_0,998.1322,60.19622843131098,-43.72975075293255,"{""type"":""MultiPoint"",""coordinates"":[]}"
2841_0,2015.9879,62.136279940459204,-46.972456950796904,"{""type"":""MultiPoint"",""coordinates"":[]}"
2843_0,592.16943,63.992352020971296,-51.03206288179002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2860_0,420.34192,61.061948286353264,-47.245253261701954,"{""type"":""MultiPoint"",""coordinates"":[]}"
2871_0,1502.7974,62.647229172189206,-48.7380988101432,"{""type"":""MultiPoint"",""coordinates"":[]}"
2884_0,750.5504,70.53029718579565,-52.902752936898565,"{""type"":""MultiPoint"",""coordinates"":[]}"
2892_0,820.205,78.31054018766466,-71.02485205294813,"{""type"":""MultiPoint"",""coordinates"":[]}"
2897_0,103.091965,71.28185428061363,-51.52095884075149,"{""type"":""MultiPoint"",""coordinates"":[]}"
2914_0,37.36119,67.40661690981086,-52.998281351470304,"{""type"":""MultiPoint"",""coordinates"":[]}"
2927_0,398.17444,78.59983157430497,-69.2583958148149,"{""type"":""MultiPoint"",""coordinates"":[]}"
2936_0,1044.0774,78.01880384721328,-69.85863439766194,"{""type"":""MultiPoint"",""coordinates"":[]}"
2951_0,255.3474,64.75394052650257,-51.87556878803233,"{""type"":""MultiPoint"",""coordinates"":[]}"
2956_0,843.83673,76.5915094224701,-66.20167128039527,"{""type"":""MultiPoint"",""coordinates"":[]}"
2962_0,696.662,62.630686087412364,-49.77118003795275,"{""type"":""MultiPoint"",""coordinates"":[]}"
2966_0,564.25446,77.55310576646542,-68.01237695369731,"{""type"":""MultiPoint"",""coordinates"":[]}"
2975_0,1795.4918,61.653144224049576,-46.27198564502758,"{""type"":""MultiPoint"",""coordinates"":[]}"
2981_0,523.492,67.7923483640432,-49.90850338393788,"{""type"":""MultiPoint"",""coordinates"":[]}"
3002_0,1613.6996,63.88462621277223,-48.89983672193657,"{""type"":""MultiPoint"",""coordinates"":[]}"
3005_0,914.72797,79.09036316932051,-64.12607501284243,"{""type"":""MultiPoint"",""coordinates"":[]}"
