system:index,aspect,latitude,longitude,.geo
3144_0,1,67.31393027397475,-51.688990780371746,"{""type"":""MultiPoint"",""coordinates"":[]}"
3150_0,4,73.06740735041888,-54.02938798031043,"{""type"":""MultiPoint"",""coordinates"":[]}"
3154_0,1,72.40160671627949,-52.40285987353339,"{""type"":""MultiPoint"",""coordinates"":[]}"
3173_0,2,78.3874235269854,-71.94470299523884,"{""type"":""MultiPoint"",""coordinates"":[]}"
3188_0,1,66.8277910264985,-52.45219053376457,"{""type"":""MultiPoint"",""coordinates"":[]}"
3192_0,1,72.96051667732091,-54.652329535233065,"{""type"":""MultiPoint"",""coordinates"":[]}"
3201_0,2,61.08275998935554,-45.596604178101146,"{""type"":""MultiPoint"",""coordinates"":[]}"
3203_0,2,61.117822436634796,-45.82698813578094,"{""type"":""MultiPoint"",""coordinates"":[]}"
3214_0,1,78.0967018481336,-69.91523986869178,"{""type"":""MultiPoint"",""coordinates"":[]}"
3221_0,4,62.523044746634554,-48.80603152226716,"{""type"":""MultiPoint"",""coordinates"":[]}"
3222_0,1,66.42133490883539,-53.114456319724276,"{""type"":""MultiPoint"",""coordinates"":[]}"
3229_0,4,76.25528883784034,-66.46212422141632,"{""type"":""MultiPoint"",""coordinates"":[]}"
3231_0,1,78.1923022334021,-69.6501122926484,"{""type"":""MultiPoint"",""coordinates"":[]}"
3236_0,1,70.66768794625918,-53.788002195695405,"{""type"":""MultiPoint"",""coordinates"":[]}"
3258_0,1,65.85444177217077,-49.441763712277876,"{""type"":""MultiPoint"",""coordinates"":[]}"
3260_0,2,78.05930476098922,-70.26009334544368,"{""type"":""MultiPoint"",""coordinates"":[]}"
3265_0,2,61.53973073589643,-46.08023693557354,"{""type"":""MultiPoint"",""coordinates"":[]}"
3273_0,3,60.89659777170374,-45.69585153063078,"{""type"":""MultiPoint"",""coordinates"":[]}"
3274_0,2,60.4790751545274,-43.86549158524335,"{""type"":""MultiPoint"",""coordinates"":[]}"
3282_0,3,70.00842361211188,-54.12680459086078,"{""type"":""MultiPoint"",""coordinates"":[]}"
3283_0,2,64.92252743860567,-49.913162139065605,"{""type"":""MultiPoint"",""coordinates"":[]}"
3287_0,4,72.78111944955553,-54.08582038301809,"{""type"":""MultiPoint"",""coordinates"":[]}"
