system:index,distance_to_sea,.geo
1240,2725.967899015618,"{""type"":""Point"",""coordinates"":[-51.00874770650982,68.3989744825176]}"
1251,3118.5133086845294,"{""type"":""Point"",""coordinates"":[-51.60447016938464,71.41412750002684]}"
1253,7040.329575541947,"{""type"":""Point"",""coordinates"":[-48.77373486014792,61.70333813230482]}"
1256,33739.16112004441,"{""type"":""Point"",""coordinates"":[-49.9822588009764,68.21484809389898]}"
1273,37809.850329959016,"{""type"":""Point"",""coordinates"":[-67.3314266652841,78.72185908955115]}"
1282,32601.7400678889,"{""type"":""Point"",""coordinates"":[-46.64405850691193,61.3888179785547]}"
1283,30435.847088512415,"{""type"":""Point"",""coordinates"":[-49.369158143792696,68.8683000385492]}"
1284,63628.680031801094,"{""type"":""Point"",""coordinates"":[-48.928351149173395,63.51888191010124]}"
1286,17752.65419375966,"{""type"":""Point"",""coordinates"":[-48.4736684891811,62.01452833441823]}"
1290,6252.04770377651,"{""type"":""Point"",""coordinates"":[-52.37948472593377,71.44841076024841]}"
1301,3026.8015405174206,"{""type"":""Point"",""coordinates"":[-49.72317819875055,64.29075776064914]}"
1304,7691.503406577834,"{""type"":""Point"",""coordinates"":[-55.33721272470444,73.84874546362052]}"
1308,17019.047811471883,"{""type"":""Point"",""coordinates"":[-63.43804500505939,80.35146375946722]}"
1320,20901.626895414607,"{""type"":""Point"",""coordinates"":[-64.71603007965686,80.53960480289915]}"
1323,54909.501871260516,"{""type"":""Point"",""coordinates"":[-53.37501044877583,73.49265375067817]}"
1332,24006.54416146072,"{""type"":""Point"",""coordinates"":[-64.6986959580885,80.4944082103277]}"
1335,79548.12103396733,"{""type"":""Point"",""coordinates"":[-46.86918089015451,61.86620471151409]}"
1336,8526.81552317498,"{""type"":""Point"",""coordinates"":[-64.08328114011196,80.35848652185474]}"
1343,12077.566882162118,"{""type"":""Point"",""coordinates"":[-71.7603032781212,78.03612991940068]}"
1357,6602.167377824756,"{""type"":""Point"",""coordinates"":[-62.97486636916738,81.11708277743598]}"
1362,0.0,"{""type"":""Point"",""coordinates"":[-57.1544280906748,74.78463948210933]}"
1364,13001.73433818967,"{""type"":""Point"",""coordinates"":[-68.4812784148583,76.44366246673592]}"
1366,65122.46637505609,"{""type"":""Point"",""coordinates"":[-49.63383951627437,66.32151865626952]}"
1379,82434.2025383318,"{""type"":""Point"",""coordinates"":[-46.92953449813222,61.9119314567311]}"
1387,1444.6881647616833,"{""type"":""Point"",""coordinates"":[-45.35153247104286,61.046743941130394]}"
1390,10809.505897523413,"{""type"":""Point"",""coordinates"":[-57.69893227235999,75.2681113550697]}"
1391,2733.886741140127,"{""type"":""Point"",""coordinates"":[-49.0383355096127,61.666959980083746]}"
1410,7235.42106944947,"{""type"":""Point"",""coordinates"":[-58.85460646073165,75.88365832372152]}"
1423,54681.75277483277,"{""type"":""Point"",""coordinates"":[-47.60570184754166,61.93760752484854]}"
1424,34538.21232947877,"{""type"":""Point"",""coordinates"":[-54.834323929124416,74.12022807009049]}"
1431,25544.705305001233,"{""type"":""Point"",""coordinates"":[-47.17968106640099,61.199781120521045]}"
1432,18113.33835667578,"{""type"":""Point"",""coordinates"":[-62.44541256675064,80.61698077237862]}"
1461,301.4642839202597,"{""type"":""Point"",""coordinates"":[-52.87544379369759,66.02402620302445]}"
1463,31756.776948616407,"{""type"":""Point"",""coordinates"":[-55.031814327396724,74.25271985247717]}"
1470,18826.374151759457,"{""type"":""Point"",""coordinates"":[-57.46005115889154,75.5508829934237]}"
1478,404.4489578650311,"{""type"":""Point"",""coordinates"":[-52.535565588851135,65.92236680897419]}"
1479,38086.740253545206,"{""type"":""Point"",""coordinates"":[-49.68248540392957,65.56144470452898]}"
1491,4117.4433585302595,"{""type"":""Point"",""coordinates"":[-51.986387873583595,64.68479880989075]}"
1494,2539.3484245721725,"{""type"":""Point"",""coordinates"":[-57.80008393193054,75.16471481667959]}"
1507,3678.3196141953918,"{""type"":""Point"",""coordinates"":[-50.75056082525058,63.447485819053696]}"
1508,6518.745865187429,"{""type"":""Point"",""coordinates"":[-54.11063489398668,70.76680857903762]}"
1529,21875.588926764907,"{""type"":""Point"",""coordinates"":[-50.583302131473104,66.63566237074545]}"
1530,51045.76458608191,"{""type"":""Point"",""coordinates"":[-52.043835749920994,72.440631708789]}"
